conc;1;2;3;4;5;6
-6;1.010479;1.077564;1.106223;0.987762;0.986955;0.944235
-5;1.010479;1.077564;1.106223;0.987762;0.986955;0.944235
-4;1.010479;1.077564;1.106223;0.987762;0.986955;0.944235
-3;1.010479;1.077564;1.106223;0.987762;0.986955;0.944235
-2;1.010479;1.077564;1.106223;0.987762;0.986955;0.944235
-1;0.864400;0.849164;0.906683;0.869614;0.820936;0.775740
0;0.464446;0.529206;0.492726;0.511687;0.548372;0.491318
1;0.274938;0.283498;0.296118;0.276790;0.291130;0.298531
2;0.070258;0.075610;0.078598;0.077952;0.073403;0.064114
3;0.070258;0.075610;0.078598;0.077952;0.073403;0.064114